movie_name,release_date,production_budget_usd,domestic_gross_usd,worldwide_gross_usd,domestic_box_office_usd,international_box_office_usd,worldwide_box_office_usd,opening_weekend_usd,legs,infl_adj_dom_bo_usd,mpaa_rating,running_time_minutes,source,genre,production_method,creative_type,domestic_share_percentage,release_year,release_month,release_quarter,opening_theaters,max_theaters,avg_weeks_per_theater,is_franchise,profit_worldwide,profit_domestic,roi_worldwide,roi_domestic,log_domestic_box_office,log_worldwide_box_office,log_budget,log_opening_weekend,log_opening_theaters,log_max_theaters,imdb_id,imdb_rating,imdb_votes
Lucky Break,2001-08-24,6000000,54606,4316497,54606.0,4261891.0,4316497.0,7495.0,6.84,101310.0,PG-13,107.0,Based on Play,Comedy,Live Action,Contemporary Fiction,1.3,2001.0,8.0,3.0,6.0,31.0,4.0,0,-1683503.0,-5945394.0,0.7194161666666666,0.009101,10.907917358643626,15.277954983319256,15.607270193858982,8.922124823918258,1.9459101490553132,3.4657359027997265,tt0246134,6.2,"2,325"
Song One,2015-01-23,6000000,32251,437089,32251.0,404838.0,437089.0,20200.0,1.6,41234.0,PG-13,88.0,Original Screenplay,Drama,Live Action,Contemporary Fiction,7.4,2015.0,1.0,1.0,27.0,27.0,1.0,0,-5562911.0,-5967749.0,0.0728481666666666,0.0053751666666666,10.381335335804913,12.987894402529758,15.607270193858982,9.91348738711446,3.332204510175204,3.332204510175204,,,
Lake of Fire,2007-10-03,6000000,25317,26007,25317.0,690.0,26007.0,2559.0,7.65,39660.0,Not Rated,107.0,Based on Real Life Events,Documentary,Live Action,Factual,97.3,2007.0,10.0,4.0,1.0,9.0,3.1,0,-5973993.0,-5974683.0,0.0043345,0.0042195,10.139270884196774,10.16615946198374,15.607270193858982,7.847762537473608,0.6931471805599453,2.302585092994046,,,
Emma,1996-08-02,5900000,22231658,37831658,22231658.0,15600000.0,37831658.0,240649.0,7.28,54221093.0,PG,120.0,Based on Fiction Book/Short Story,Comedy,Live Action,Historical Fiction,58.8,1996.0,8.0,3.0,9.0,848.0,7.2,0,31931658.0,16331658.0,6.412145423728814,3.768077627118644,16.917027912035675,17.44865684973171,15.59046307836746,12.391098874731256,2.302585092994046,6.744059186311348,tt0116191,6.6,"43,365"
L'auberge espagnole,2003-03-21,5900000,3895664,3910861,3895664.0,15197.0,3910861.0,57692.0,14.54,6964387.0,R,122.0,Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,99.6,2003.0,3.0,1.0,11.0,99.0,9.6,0,-1989139.0,-2004336.0,0.6628577966101695,0.6602820338983051,15.175374954421304,15.179268368021791,15.59046307836746,10.962891127978956,2.4849066497880004,4.605170185988092,,,
Winter in Wartime,2008-11-27,5800000,542860,9662214,542860.0,9119354.0,9662214.0,14037.0,14.15,737956.0,R,103.0,Based on Fiction Book/Short Story,Drama,Live Action,Historical Fiction,5.6,2008.0,11.0,4.0,3.0,26.0,9.7,0,3862214.0,-5257140.0,1.6658989655172414,0.0935965517241379,13.204608580879215,16.08373347597063,15.573368647930426,9.549523217290366,1.3862943611198906,3.295836866004329,tt0795441,7.0,"13,924"
Foolproof,2003-10-03,5800000,230312,421021,230312.0,190709.0,421021.0,230312.0,1.0,411731.0,R,93.0,Original Screenplay,Comedy,Live Action,Contemporary Fiction,54.7,2003.0,10.0,4.0,189.0,189.0,1.0,0,-5378979.0,-5569688.0,0.0725898275862069,0.0397089655172413,12.3471945323268,12.95044036783126,15.573368647930426,12.3471945323268,5.247024072160486,5.247024072160486,tt0356614,6.4,"11,831"
Tom yum goong,2006-09-08,5700000,12044087,43044087,12044087.0,31000000.0,43044087.0,5034180.0,2.39,19822167.0,R,81.0,Original Screenplay,Action,Live Action,Contemporary Fiction,28.0,2006.0,9.0,3.0,1541.0,1541.0,3.4,1,37344087.0,6344087.0,7.551594210526316,2.1129977192982454,16.304084475099746,17.577735450719995,15.55597690824336,15.431761409533596,7.340835554123275,7.340835554123275,,,
The Inbetweeners,2012-09-07,5700000,35955,86051320,35955.0,86015365.0,86051320.0,35955.0,1.0,48682.0,R,96.0,Based on TV,Comedy,Live Action,Contemporary Fiction,0.0,2012.0,9.0,3.0,10.0,10.0,1.0,1,80351320.0,-5664045.0,15.096722807017544,0.0063078947368421,10.49005124769329,18.270454432043792,15.55597690824336,10.49005124769329,2.3978952727983707,2.3978952727983707,,,
Valhalla Rising,2010-07-16,5700000,30638,731613,30638.0,700975.0,731613.0,7905.0,3.88,41859.0,Not Rated,107.0,Original Screenplay,Action,Live Action,Historical Fiction,4.2,2010.0,7.0,3.0,1.0,2.0,2.5,0,-4968387.0,-5669362.0,0.1283531578947368,0.0053750877192982,10.330028986246209,13.50300833145572,15.55597690824336,8.97537724385663,0.6931471805599453,1.0986122886681098,,,
Bend it Like Beckham,2002-04-12,5600000,32543449,74566042,32543449.0,42022593.0,74566042.0,161528.0,16.66,58178830.0,PG-13,112.0,Original Screenplay,Comedy,Live Action,Contemporary Fiction,43.6,2002.0,4.0,2.0,6.0,1002.0,9.1,0,68966042.0,26943449.0,13.315364642857142,5.811330178571429,17.298086677490957,18.127195773877073,15.53827733427679,11.992439972088173,1.9459101490553132,6.910750787961936,tt0286499,6.7,"120,160"
Sunshine State,2002-06-21,5600000,3064356,3281898,3064356.0,217542.0,3281898.0,93072.0,11.87,5685663.0,PG-13,141.0,Original Screenplay,Drama,Live Action,Contemporary Fiction,93.4,2002.0,6.0,2.0,10.0,79.0,11.8,0,-2318102.0,-2535644.0,0.5860532142857143,0.5472064285714285,14.93534831741566,15.003932776240305,15.53827733427679,11.441139410462773,2.3978952727983707,4.382026634673881,tt0286179,6.8,"4,270"
Chariots of Fire,1981-09-25,5500000,61558162,61924076,61558162.0,365914.0,61924076.0,68907.0,17.92,226297856.0,PG,125.0,Based on Real Life Events,Drama,Live Action,Dramatization,99.4,1981.0,9.0,3.0,3.0,810.0,15.4,0,56424076.0,56058162.0,11.25892290909091,11.192393090909093,17.93549302568399,17.941419628101446,15.520258832020865,11.14052756056626,1.3862943611198906,6.698268054115413,tt0082158,7.1,"69,810"
Diary of a Mad Black Woman,2005-02-25,5500000,50406346,50458356,50406346.0,52010.0,50458356.0,21905089.0,2.3,84770729.0,PG-13,116.0,Based on Play,Drama,Live Action,Contemporary Fiction,99.9,2005.0,2.0,1.0,1483.0,1703.0,4.4,1,44958356.0,44906346.0,9.174246545454546,9.164790181818182,17.735627657652444,17.736658940203167,15.520258832020865,16.90222958787269,7.302496423727326,7.440733707389261,tt0422093,5.7,"16,869"
Shine,1996-08-15,5500000,35811509,36675932,35811509.0,864423.0,36675932.0,162179.0,10.19,84711029.0,PG-13,105.0,Based on Real Life Events,Drama,Live Action,Dramatization,97.6,1996.0,8.0,3.0,7.0,1050.0,10.0,0,31175932.0,30311509.0,6.668351272727273,6.5111834545454546,17.393779908078074,17.417631321342537,15.520258832020865,11.996462108498548,2.0794415416798357,6.957497370876951,tt0117631,7.6,"57,353"
Don Jon,2013-09-27,5500000,24477704,41268579,24477704.0,16790875.0,41268579.0,8677009.0,2.82,32456262.0,R,90.0,Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,59.3,2013.0,9.0,3.0,2422.0,2422.0,3.7,0,35768579.0,18977704.0,7.503378,4.450491636363636,17.013273261213595,17.53561199357684,15.520258832020865,15.976187557247016,7.792761720816526,7.792761720816526,tt2229499,6.5,"253,868"
Show Dogs,2018-05-11,5500000,17744685,40014998,17744685.0,22270313.0,40014998.0,6023972.0,2.95,20997543.0,PG,92.0,Original Screenplay,Comedy,"Animation,Live Action",Contemporary Fiction,44.3,2018.0,5.0,2.0,3212.0,3212.0,3.4,0,34514998.0,12244685.0,7.275454181818182,3.226306363636364,16.691596648780784,17.504764916792656,15.520258832020865,15.61125756638011,8.074960359115858,8.074960359115858,tt5691024,4.0,"5,306"
Hell Fest,2018-09-27,5500000,11107431,18294883,11107431.0,7187452.0,18294883.0,5130963.0,2.16,13143590.0,R,89.0,Original Screenplay,Horror,Live Action,Contemporary Fiction,60.7,2018.0,9.0,3.0,2297.0,2297.0,2.9,0,12794883.0,5607431.0,3.3263423636363636,2.019532909090909,16.223124991783813,16.722132015885144,15.520258832020865,15.450804113723304,7.739794458408701,7.739794458408701,tt1999890,5.5,"20,518"
Loving Vincent,2017-07-12,5500000,6735118,44058550,6735118.0,37323432.0,44058550.0,23180.0,6.9,8085539.0,PG-13,95.0,Based on Real Life Events,Drama,"Animation,Live Action",Dramatization,15.3,2017.0,7.0,3.0,1.0,218.0,8.2,0,38558550.0,1235118.0,8.010645454545454,1.224566909090909,15.722846036564349,17.601030011825372,15.520258832020865,10.051088256601693,0.6931471805599453,5.389071729816501,tt3262342,7.8,"66,467"
